,si_no,head,date,time,place,complainant_vehicle,opposite_vehicle,male_injury,female_injury,male_fatal,female_fatal,total_cases,age_1,age_2,age_3,age_4,age_5,age_6,age_7,age_8,age_9,age_10,male _fatal,...23,...24,...25
190,52,Fatal,04-09-2012 00:00,14,Anchaneyar temple,Self fall,"
Lorry

",NA,NA,1,NA,1,NA,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
191,76,Simple,11-01-2012 00:00,10.3,Anchaneyar temple,Self fall,"Car

",2,NA,NA,NA,2,22,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
192,73,Simple,09-12-2012 00:00,11,Anchaneyar temple,"Lorry

","Lorry

",2,NA,NA,NA,2,41,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
193,38,Fatal,13-06-2012 00:00,14,Anchaneyar temple,Self fall,"Lorry


",1,NA,NA,NA,1,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
194,74,Grives,12-12-2012 00:00,4.3,Anchaneyar temple,Self fall,"Lorry
",1,NA,NA,NA,1,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
195,72,Simple,03-11-2012 00:00,6,Anchaneyar temple,Self fall,"Lorry

",2,NA,NA,NA,2,39,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
196,1,Fatal,16-01-2012 00:00,17,"Near bridge, Dharmapuri to Salem road",Pedestrian,Lorry,NA,NA,1,NA,1,NA,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
197,64,Simple,18-10-2012 00:00,13.3,"Near bridge, Dharmapuri to Salem road","Van 

","Bus

",1,NA,NA,NA,1,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
198,8,Simple,04-02-2012 00:00,8,"
Burial ground Thoppur.
",Self fall,"Lorry
",3,NA,NA,NA,3,30,40,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
199,11,Fatal,12-03-2012 00:00,9.3,"Dhandukarampatty,",Pedestrian,Two Wheeler,NA,NA,NA,1,1,NA,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
200,70,Simple,02-12-2012 00:00,18,Vellakkal,Two Wheeler,Car,2,NA,NA,NA,2,40,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201,59,Simple,20-09-2012 00:00,11.3,"
Thombarakam-patty",Pedestrian,Unknown Vechile,1,NA,NA,NA,1,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
202,58,Simple,15-09-2012 00:00,11,Pagalpatty,Pedestrian,Two Wheeler,NA,1,NA,NA,1,NA,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
203,65,Simple,21-10-2012 00:00,17,Gengalapuram,Pedestrian,Two wheeler,2,NA,NA,NA,2,35,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
204,43,Fatal,02-07-2012 00:00,17.3,"Kattamedu

",Two wheeler,Lorry,NA,NA,1,NA,1,NA,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
205,75,Simple,01-12-2012 00:00,21,L&T gate,Pedestrian,"Van
",1,NA,NA,NA,1,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
206,13,Grives,01-03-2012 00:00,14.45,"
Vellaikkal 
",Pedestrian,"Lorry


",1,NA,NA,NA,1,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
207,45,Fatal,10-07-2012 00:00,16.3,"
Konangkariyanur
",Two wheeler,"Lorry

",NA,NA,1,NA,1,NA,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
208,9,Simple,05-01-2012 00:00,7.3,Poorikkal,Cyclist,TVS XL,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
209,10,Simple,07-03-2012 00:00,17,Pakalpatti,Two wheeler,Lorry,1,NA,NA,NA,1,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
210,4,Fatal,21-01-2012 00:00,15,"
Dhasankottai",Self fall,"Tractor
",NA,NA,1,NA,1,NA,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
211,3,Simple,15-01-2012 00:00,7.15,Thoppur Police quarters,Two wheeler,"Lorry


",2,NA,NA,NA,2,24,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
212,35,Simple,01-05-2012 00:00,9.45,Thoppur Police quarters,Two wheeler,"Car

",1,NA,NA,NA,1,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
213,22,Simple,17-04-2012 00:00,20,"
Soranguppanur puthur.
",Two wheeler,"Lorry

",1,NA,NA,NA,1,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
214,40,Fatal,17-06-2012 00:00,18.3,Puvana grocer shop,Pedestrian,Two Wheeler,1,NA,NA,NA,1,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
215,37,Simple,07-05-2012 00:00,13,"
Chekkarapatty.

",Two wheeler,"Auto

",1,NA,NA,NA,1,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
216,60,Fatal,04-09-2012 00:00,5.3,Thoppur junction,Two wheeler,"Lorry

",NA,NA,1,NA,1,NA,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
217,48,Grives,15-08-2012 00:00,11,Thoppur Police quarters,Two wheeler,Car,1,NA,NA,NA,1,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
218,2,Simple,16-01-2012 00:00,11.15,Toll gate,Lorry,"Two Wheeler


",1,NA,NA,NA,1,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
219,62,Simple,12-10-2012 00:00,8.4,Palayampudur,Pedestrian,Bus,1,NA,NA,NA,1,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
220,67,Fatal,02-11-2012 00:00,15.15,Palayampudur,Two wheeler,"Car

",NA,NA,1,NA,1,NA,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
221,12,Simple,19-03-2012 00:00,17.3,Palayampudur,Two wheeler,Lorry,1,NA,NA,NA,1,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
222,69,Simple,04-11-2012 00:00,14,Palayampudur,Cyclist,"Car

",2,NA,NA,NA,2,15,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
223,54,Simple,10-09-2012 00:00,19,"
Thombarakam-patty.

",Two wheeler,"Car

",2,NA,NA,NA,2,25,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
224,6,Simple,08-02-2012 00:00,21.3,Purikkal,Two wheeler,Eicher,1,NA,NA,NA,1,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
225,26,Simple,02-05-2012 00:00,21,"
Sanisandhai
",Pedestrian,"Van

",1,NA,NA,NA,1,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
226,61,Simple,06-10-2012 00:00,12.35,"Sakthi tea shop
",Pedestrian,"Two Wheeler

",NA,1,NA,NA,1,NA,67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
227,17,Simple,07-04-2012 00:00,21.3,Salem to Dharmapuri road.,Two wheeler,"Auto

",1,NA,NA,NA,1,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
228,55,Grives,12-09-2012 00:00,13.3,Salem to Dharmapuri road.,Pedestrian,"Van

",1,NA,NA,NA,1,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
229,36,Fatal,04-05-2012 00:00,22.5,Thoppur clough,Two wheeler,"lorry 

",1,NA,NA,NA,1,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
230,23,Fatal,22-04-2012 00:00,23.45,Thombarakampatty JN road,"Van 
",Lorry,NA,NA,1,NA,1,NA,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
231,68,Grives,03-11-2012 00:00,9,Thoppur JN road,Two wheeler,"Bus
 
",1,NA,NA,NA,1,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
232,42,Simple,01-07-2012 00:00,23,Thoppur Pudur road,Lorry,"Bus

",1,NA,NA,NA,1,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
233,19,Fatal,20-04-2012 00:00,14.15,Thoppur to Salme road.,Self fall,Two wheeler,NA,NA,1,NA,1,NA,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
234,32,Simple,20-05-2012 00:00,8.3,Ummiyampatty,Two wheeler,Two Wheeler,1,NA,NA,NA,1,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
235,47,Simple,07-08-2012 00:00,18.3,Uthcimarathupallam,Pedestrian,Bus,1,NA,NA,NA,1,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
236,15,Fatal,14-02-2013 00:00,16,Vellakkal bus stop,two wheeler,van,1,NA,NA,NA,2,NA,22,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
237,84,Simple,09-12-2013 00:00,5,Vellakkal bus stop,Passenger,car,5,NA,NA,NA,5,25,50,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
238,70,Fatal,12-11-2013 00:00,2,Vellakal bus stop,Unknown,Unknown,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
239,57,Simple,07-10-2013 00:00,11,Vellakal bus stop,Pedestrian,two wheeler,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
240,2,Fatal,06-01-2013 00:00,21.45,Toll Plaza,Pedestrian,Lorry,NA,NA,NA,NA,1,NA,48,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
241,54,Simple,26-09-2013 00:00,22.5,Toll Plaza,Pedestrian,two wheeler,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
242,42,Fatal,25-08-2013 00:00,10.15,ravine,Self fall,lorry,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
243,49,Grives,07-09-2013 00:00,23.3,Pudhur Kamachiyamman temple,two wheeler,Unknowm,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
244,12,Simple,02-02-2013 00:00,7.3,Kanavai bridge,lorry,van,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
245,33,Simple,06-06-2013 00:00,17,Thoppiyaru dam,NA,car,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
246,89,Simple,19-12-2013 00:00,12,Thoppaiyar dam,Cyclist,car,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
247,59,Simple,14-10-2013 00:00,11.4,Thoopur junction,car,lorry,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
248,62,Simple,21-10-2013 00:00,7.3,Thomparakampatty,Pedestrian,two wheeler,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
249,43,Simple,27-08-2013 00:00,23.3,Thomparakampatty,van,van,2,NA,NA,NA,2,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
250,9,Simple,23-01-2013 00:00,20,Thombarakampatty,Pedestrian,bus,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
251,19,Simple,16-03-2013 00:00,8.2,Thombarakampatty,NA,car,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
252,3,Fatal,10-01-2013 00:00,11,Thatanaickampatty village,Pillion,two wheeler,NA,NA,NA,NA,1,NA,55,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
253,79,Simple,26-11-2013 00:00,9.15,Sowlur bus stop,Pedestrian,two wheeler,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
254,81,Simple,29-11-2013 00:00,1.3,Sowlur bus stop,Passenger,car,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
255,78,Simple,25-11-2013 00:00,20,Sekkarapatty village,two wheeler,van,2,1,NA,NA,3,36,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
256,58,Simple,11-10-2013 00:00,9.3,Savulur bus stop,two wheeler,two wheeler,2,NA,NA,NA,2,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
257,18,Fatal,12-03-2013 00:00,2,Sanisanthai Palayam puthur,Unknown,Unknown,NA,NA,NA,NA,1,NA,65,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
258,88,Simple,17-12-2013 00:00,13,Sanichandhai bus stop,two wheeler,Unknown,NA,1,NA,NA,1,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
259,23,Fatal,26-04-2013 00:00,12,Rajendaran house,two wheeler,Lorry,1,NA,NA,NA,2,NA,42,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
260,35,Simple,15-06-2013 00:00,23,Rajalakshmi Petrol bunk Thoppur,Pedestrian,bus,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
261,74,Simple,16-11-2013 00:00,18.15,Poorikal junction road,car,lorry,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
262,73,Fatal,16-11-2013 00:00,16.45,Police quarters,car,lorry,NA,NA,NA,NA,1,NA,62,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
263,5,Simple,10-01-2013 00:00,9.5,Police quarters,two wheeler,Lorry,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
264,10,Fatal,31-01-2013 00:00,10.2,Police quarters,two wheeler,Lorry,NA,NA,NA,NA,1,NA,30,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
265,63,Simple,01-11-2013 00:00,9.3,Police quarters,two wheeler,car,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
266,61,Simple,13-10-2013 00:00,21,Police Quarter junction,two wheeler,Unknown Car,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
267,87,Simple,18-12-2013 00:00,19.3,Petrol bunk Palayampuadhur,Pedestrian,car,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
268,25,Grives,03-05-2013 00:00,9,Palayamputhur junction,two wheeler,car,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
269,21,Grives,23-03-2013 00:00,22.45,Palayamputhur junction,Pedestrian,Unknown,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
270,77,Simple,21-11-2013 00:00,16.2,Palayampudur village,two wheeler,tailor lorry,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
271,34,Fatal,11-06-2013 00:00,13,Palayampudur JN road,Pedestrian,car,NA,NA,NA,1,1,NA,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
272,29,Simple,18-05-2013 00:00,4.5,Palayampudur JN road,bus,van,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
273,55,Simple,28-09-2013 00:00,11.15,Palaiyampudur JN road,two wheeler,van,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
274,82,Simple,04-12-2013 00:00,1,Over bridge,car,lorry,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
275,20,Simple,13-03-2013 00:00,19,Madhiyan hotel check post,Pedestrian,car,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
276,11,Simple,31-01-2013 00:00,13.3,Madhiyan hotel,two wheeler,Lorry,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
277,44,Simple,29-08-2013 00:00,17,Lakshmi Narayana Polytechnic college Savulur,Cyclist,lorry,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
278,36,Grives,20-06-2013 00:00,16.3,Krishnan poultry Ealagiri to Nagavathi dam road,two wheeler,van,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
279,48,Simple,06-09-2013 00:00,5,Kattamedu down,Passenger,car,2,NA,NA,NA,2,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
280,47,Fatal,04-09-2013 00:00,17.4,Kattamedu bus stop,two wheeler,Unknowm,NA,NA,NA,NA,1,NA,48,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
281,85,Simple,15-12-2013 00:00,16,Kattamedu bus stop,Passenger,van,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
282,75,Simple,19-11-2013 00:00,16,Kattamedu bus stop,Passenger,lorry,2,NA,NA,NA,2,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
283,24,Simple,27-04-2013 00:00,20,Kattamedu,Pedestrian,two wheeler,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
284,52,Simple,19-09-2013 00:00,18.3,Kattamedu,Self fall,lorry,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
285,26,Simple,05-05-2013 00:00,19,In-front of Kandhasamy grocery shop,NA,car,NA,1,NA,NA,1,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
286,6,Fatal,13-01-2013 00:00,17.3,ghat section road,two wheeler,unknown vehicle.,NA,NA,NA,NA,1,NA,35,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
287,22,Simple,28-03-2013 00:00,20.3,Dharga junction Thoppur,Pedestrian,Auto,NA,1,NA,NA,1,85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
288,56,Fatal,06-10-2013 00:00,16,complainant’s house Pudhur,Passenger,bus,NA,NA,NA,NA,1,NA,50,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
289,27,Simple,05-05-2013 00:00,14.3,check post,two wheeler,Lorry,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
290,30,Simple,21-05-2013 00:00,22.45,check post,Pedestrian,two wheeler,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
291,37,Simple,20-06-2013 00:00,16.3,check post,two wheeler,lorry,2,NA,NA,NA,2,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
292,45,Simple,30-08-2013 00:00,22.3,Chenrayaperumal temple,two wheeler,car,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
293,64,Simple,02-11-2013 00:00,19,Chendraya Perumal koil Palayampudhur,two wheeler,Tractor,2,1,NA,NA,3,5,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
294,60,Simple,14-10-2013 00:00,11.3,Check post Thoppur,Pedestrian,car,NA,1,NA,NA,1,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
295,51,Simple,23-08-2013 00:00,8.3,Check post bus stop,Passenger,bus,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
296,13,Fatal,02-02-2013 00:00,19.3,Buvana grocer shop Vellakkal,Pedestrian,Unknown vehicle,NA,NA,NA,NA,1,NA,55,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
297,1,Simple,02-01-2013 00:00,19,bus stop Vellakal,Car,lorry,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
298,16,Simple,05-03-2013 00:00,16.3,bus stop Sevadi road,Passenger,Auto,NA,1,NA,NA,1,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
299,32,Simple,07-06-2013 00:00,16,bus stop Savulur,bus,lorry,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
300,39,Simple,21-07-2013 00:00,18,bus stop Kattamedu,bus,lorry,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
301,83,Fatal,09-12-2013 00:00,6.15,Bus stop Gettupatty,Pedestrian,bus,NA,NA,NA,NA,1,NA,65,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
302,46,Fatal,04-09-2013 00:00,11.45,Bagalpatty bus stop,Pedestrian,can,NA,NA,NA,NA,1,NA,70,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
303,17,Simple,09-03-2013 00:00,14,Anjaneyar,lorry,Lorry,3,NA,NA,NA,3,45,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
304,31,Simple,31-05-2013 00:00,3,Anjaneyar,Self fall,lorry,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
305,7,Simple,14-01-2013 00:00,9.2,Anjaneyar,two wheeler,Lorry,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
306,40,Simple,04-08-2013 00:00,9.15,Anjaneyar,two wheeler,Lorry,1,1,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
307,41,Simple,16-08-2013 00:00,3,Anjaneyar,lorry,lorry,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
308,86,Fatal,17-12-2013 00:00,18,Anjaneyar,bus,lorry,NA,NA,NA,NA,1,NA,42,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
309,65,Fatal,02-11-2013 00:00,18,Anjaneyar,Pillion,two wheeler,NA,NA,NA,NA,1,NA,23,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
310,14,Simple,10-02-2013 00:00,10,Anjaneyar,bus,lorry,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
311,71,Simple,15-11-2013 00:00,9.15,Anjaneyar,Passenger,lorry,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
312,72,Fatal,15-11-2013 00:00,18,Anjaneyar,Passenger,lorry,NA,NA,NA,NA,1,NA,21,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
313,68,Simple,10-11-2013 00:00,6,Anjaneyar,Passenger,lorry,2,NA,NA,NA,2,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
314,69,Simple,11-11-2013 00:00,10,Anjaneyar,Passenger,lorry,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
315,67,Grives,10-11-2013 00:00,6,Anjaneyar,lorry,lorry,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
316,76,Simple,19-11-2013 00:00,8,Anjaneyar,lorry,lorry,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
317,66,Fatal,09-11-2013 00:00,21,Anjaneyar,two wheeler,lorry,NA,NA,NA,NA,1,NA,29,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
318,50,Fatal,10-09-2013 00:00,15,Anjaneyar,Pillion,two wheeler,NA,NA,NA,NA,1,NA,19,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
319,53,Simple,25-09-2013 00:00,9,Anjaneyar,Passenger,lorry,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
320,28,Simple,07-05-2013 00:00,13.3,Anjaneyar,bus,lorry,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
321,4,Simple,10-01-2013 00:00,6,Anjaneyar,Pillion,Lorry,2,NA,NA,NA,2,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
322,38,Fatal,19-07-2013 00:00,21,Adaiyar Ananthabavan hotel,Passenger,car,2,NA,NA,NA,4,30,NA,29,29,NA,NA,NA,NA,NA,NA,2,NA,NA,NA
323,8,Fatal,16-01-2013 00:00,16.3,Adaiyar Ananda Bhavan Hotel,Self fall,two wheeler,NA,NA,NA,NA,1,NA,23,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
324,80,Simple,28-11-2013 00:00,13.3,Kattamedu,car,Not known,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
325,67,Simple,20-10-2014 00:00,10.3,Aattukaranpatti bus stop.,Two Wheeler,"car


",1,1,NA,NA,2,27,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
326,42,Simple,14-05-2014 00:00,15.5,Adaiyar Anandhabavan hotel,Two Wheeler,"car


",1,NA,NA,NA,1,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
327,45,Simple,03-06-2014 00:00,19.3,Anchaneyar temple,Self fall,"lorry 
",1,NA,NA,NA,1,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
328,26,Simple,04-03-2014 00:00,8.45,Anchaneyar temple,"lorry
 
","lorry 
",2,NA,NA,NA,2,35,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
329,72,Simple,08-12-2014 00:00,21.3,Anchaneyar temple,"lorry
 
","lorry 
",1,NA,NA,NA,1,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
330,25,Simple,16-03-2014 00:00,19,Anchaneyar temple,"lorry
 
",Unknown vechile,1,NA,NA,NA,1,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
331,60,Simple,21-08-2014 00:00,11.5,"Anchineyar temple,
Krishnagiri to Salem main road
",Two Wheeler,"lorry


",2,NA,NA,NA,2,55,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
