,si_no,head,date,time,place,complainant_vehicle,opposite_vehicle,male_injury,female_injury,male_fatal,female_fatal,total_cases,age_1,age_2,age_3,age_4,age_5,age_6,age_7,age_8,age_9,age_10,male _fatal,...23,...24,...25
978,79,Injury,03-12-2020 00:00,19.3,Vellakkal,Pedestrian,Bus,2,NA,NA,NA,0,45,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
979,12,Injury,10-02-2020 00:00,17.05,Vellakkal,Car,Two Wheeler,2,NA,NA,NA,0,21,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
980,24,Fatal,08-05-2020 00:00,3.45,Vellakkal,Lorry,Lorry,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,28,NA,NA,NA,NA,NA,NA,NA
981,73,Injury,15-11-2020 00:00,7.3,Vellakkal,Two Wheeler,Two Wheeler,1,NA,NA,NA,0,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
982,31,Injury,02-06-2020 00:00,20,Vellakkal,Two Wheeler,Lorry,1,NA,NA,NA,0,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
983,56,Fatal,31-08-2020 00:00,18.3,Vellakkal,Two Wheeler,Two Wheeler,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,45,NA,NA,NA,NA,NA,NA,NA
984,21,Injury,18-04-2021 00:00,14,A2B Hotel Classic Polo Show Room Near,Two Wheeler,Two Wheeler,1,NA,NA,NA,0,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
985,11,Injury,03-02-2021 00:00,18.3,Aanaikundu,Two Wheeler,Lorry,1,NA,NA,NA,0,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
986,35,Fatal,20-06-2021 00:00,5.45,Anjaneyar,Self Fall,Lorry,NA,NA,1,NA,1,NA,NA,NA,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
987,32,Injury,05-05-2021 00:00,1,Anjaneyar,Lorry,Lorry,1,NA,NA,NA,0,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
988,22,Fatal,22-04-2021 00:00,1,Anjaneyar,Lorry,Lorry,NA,NA,1,NA,1,NA,NA,NA,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
989,15,Fatal,07-03-2021 00:00,23.55,Anjaneyar,Self Fall,Lorry,3,NA,1,NA,1,24,24,26,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
990,2,Injury,06-01-2021 00:00,11.3,Anjaneyar,Two Wheeler,Lorry,1,NA,NA,NA,0,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
991,18,Injury,11-04-2021 00:00,11.5,Double Bridge,Car,Lorry,1,NA,NA,NA,0,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
992,34,Fatal,17-06-2021 00:00,16,Double Bridge,Two Wheeler,Lorry,2,NA,3,NA,3,27,39,NA,30,33,35,NA,NA,NA,NA,NA,NA,NA,NA
993,8,Injury,10-02-2021 00:00,20.15,Double Bridge,Self Fall,Two Wheeler,1,NA,NA,NA,0,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
